,Datetime,Weekday,Part of the day,counts,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,State Holiday
1529,2017-04-19 16:00:00,Wednesday,Afternoon,2,63 F,34 F,34 %,ESE,16 mph,0 mph,30.1 in,0.0
1530,2017-04-19 17:00:00,Wednesday,Afternoon,3,61 F,32 F,34 %,E,14 mph,0 mph,30.1 in,0.0
1531,2017-04-19 18:00:00,Wednesday,Afternoon,1,61 F,34 F,36 %,ESE,10 mph,0 mph,30.1 in,0.0
1532,2017-04-19 19:00:00,Wednesday,Afternoon,2,61 F,36 F,39 %,E,10 mph,0 mph,30.1 in,0.0
1533,2017-04-19 20:00:00,Wednesday,Afternoon,4,59 F,39 F,48 %,E,8 mph,0 mph,30.1 in,0.0
1534,2017-04-19 21:00:00,Wednesday,Afternoon,2,57 F,39 F,51 %,E,5 mph,0 mph,30.2 in,0.0
1535,2017-04-19 22:00:00,Wednesday,Night,1,59 F,37 F,45 %,CALM,0 mph,0 mph,30.2 in,0.0
1536,2017-04-19 23:00:00,Wednesday,Night,2,57 F,41 F,55 %,ESE,2 mph,0 mph,30.2 in,0.0
1537,2017-04-20 00:00:00,Thursday,Night,1,55 F,41 F,58 %,CALM,0 mph,0 mph,30.2 in,0.0
1538,2017-04-20 08:00:00,Thursday,Morning,3,48 F,37 F,66 %,NNW,7 mph,0 mph,30.2 in,0.0
1539,2017-04-20 10:00:00,Thursday,Morning,3,55 F,34 F,44 %,ENE,9 mph,0 mph,30.3 in,0.0
1540,2017-04-20 11:00:00,Thursday,Morning,1,55 F,28 F,36 %,E,17 mph,0 mph,30.3 in,0.0
1541,2017-04-20 12:00:00,Thursday,Morning,2,59 F,32 F,36 %,E,15 mph,0 mph,30.3 in,0.0
1542,2017-04-20 13:00:00,Thursday,Morning,1,59 F,30 F,34 %,E,17 mph,0 mph,30.3 in,0.0
1543,2017-04-20 14:00:00,Thursday,Afternoon,3,61 F,30 F,31 %,E,17 mph,0 mph,30.3 in,0.0
1544,2017-04-20 15:00:00,Thursday,Afternoon,2,59 F,39 F,48 %,E,17 mph,0 mph,30.3 in,0.0
1545,2017-04-20 16:00:00,Thursday,Afternoon,3,59 F,37 F,45 %,E,18 mph,0 mph,30.3 in,0.0
1546,2017-04-20 17:00:00,Thursday,Afternoon,4,59 F,37 F,45 %,E,16 mph,0 mph,30.3 in,0.0
1547,2017-04-20 18:00:00,Thursday,Afternoon,1,59 F,36 F,42 %,E,12 mph,0 mph,30.3 in,0.0
1548,2017-04-20 19:00:00,Thursday,Afternoon,2,59 F,37 F,45 %,E,10 mph,0 mph,30.3 in,0.0
1549,2017-04-20 20:00:00,Thursday,Afternoon,3,57 F,39 F,51 %,E,8 mph,0 mph,30.3 in,0.0
1550,2017-04-20 21:00:00,Thursday,Afternoon,1,55 F,37 F,51 %,E,3 mph,0 mph,30.3 in,0.0
1551,2017-04-20 22:00:00,Thursday,Night,1,55 F,37 F,51 %,E,2 mph,0 mph,30.3 in,0.0
1552,2017-04-21 01:00:00,Friday,Night,1,48 F,37 F,66 %,NW,3 mph,0 mph,30.3 in,0.0
1553,2017-04-21 06:00:00,Friday,Morning,1,45 F,36 F,71 %,NNW,13 mph,0 mph,30.3 in,0.0
1554,2017-04-21 07:00:00,Friday,Morning,1,45 F,34 F,66 %,NW,14 mph,0 mph,30.3 in,0.0
1555,2017-04-21 08:00:00,Friday,Morning,3,45 F,34 F,66 %,NNW,13 mph,0 mph,30.3 in,0.0
1556,2017-04-21 09:00:00,Friday,Morning,5,48 F,36 F,62 %,NW,10 mph,0 mph,30.3 in,0.0
1557,2017-04-21 10:00:00,Friday,Morning,5,54 F,36 F,51 %,NW,6 mph,0 mph,30.3 in,0.0
1558,2017-04-21 11:00:00,Friday,Morning,1,59 F,37 F,45 %,E,3 mph,0 mph,30.4 in,0.0
1559,2017-04-21 12:00:00,Friday,Morning,4,59 F,37 F,45 %,S,7 mph,0 mph,30.4 in,0.0
1560,2017-04-21 13:00:00,Friday,Morning,2,59 F,37 F,45 %,S,9 mph,0 mph,30.4 in,0.0
1561,2017-04-21 14:00:00,Friday,Afternoon,4,61 F,37 F,42 %,S,10 mph,0 mph,30.4 in,0.0
1562,2017-04-21 15:00:00,Friday,Afternoon,7,61 F,37 F,42 %,S,12 mph,0 mph,30.4 in,0.0
1563,2017-04-21 16:00:00,Friday,Afternoon,2,61 F,39 F,45 %,S,10 mph,0 mph,30.4 in,0.0
1564,2017-04-21 17:00:00,Friday,Afternoon,3,59 F,41 F,51 %,S,10 mph,0 mph,30.3 in,0.0
1565,2017-04-21 18:00:00,Friday,Afternoon,3,59 F,41 F,51 %,S,10 mph,0 mph,30.3 in,0.0
1566,2017-04-21 19:00:00,Friday,Afternoon,5,61 F,41 F,48 %,SSW,8 mph,0 mph,30.3 in,0.0
1567,2017-04-21 21:00:00,Friday,Afternoon,1,57 F,41 F,55 %,SSW,5 mph,0 mph,30.3 in,0.0
1568,2017-04-21 22:00:00,Friday,Night,1,57 F,41 F,55 %,SSW,6 mph,0 mph,30.4 in,0.0
1569,2017-04-22 01:00:00,Saturday,Night,1,52 F,43 F,71 %,NW,3 mph,0 mph,30.4 in,0.0
1570,2017-04-22 02:00:00,Saturday,Night,2,50 F,41 F,71 %,NNW,5 mph,0 mph,30.3 in,0.0
1571,2017-04-22 04:00:00,Saturday,Night,2,48 F,41 F,76 %,NW,8 mph,0 mph,30.3 in,0.0
1572,2017-04-22 06:00:00,Saturday,Morning,2,48 F,39 F,71 %,NNW,10 mph,0 mph,30.3 in,0.0
1573,2017-04-22 08:00:00,Saturday,Morning,1,48 F,39 F,71 %,NW,10 mph,0 mph,30.3 in,0.0
1574,2017-04-22 09:00:00,Saturday,Morning,2,50 F,39 F,66 %,NW,10 mph,24 mph,30.3 in,0.0
1575,2017-04-22 10:00:00,Saturday,Morning,1,55 F,41 F,58 %,WNW,5 mph,0 mph,30.3 in,0.0
1576,2017-04-22 11:00:00,Saturday,Morning,4,61 F,45 F,55 %,SW,16 mph,0 mph,30.3 in,0.0
1577,2017-04-22 12:00:00,Saturday,Morning,1,61 F,46 F,59 %,SW,20 mph,0 mph,30.3 in,0.0
1578,2017-04-22 13:00:00,Saturday,Morning,1,63 F,48 F,59 %,SW,22 mph,0 mph,30.3 in,0.0
1579,2017-04-22 14:00:00,Saturday,Afternoon,2,63 F,50 F,63 %,SW,23 mph,0 mph,30.2 in,0.0
1580,2017-04-22 16:00:00,Saturday,Afternoon,1,63 F,48 F,59 %,SW,23 mph,0 mph,30.2 in,0.0
1581,2017-04-22 17:00:00,Saturday,Afternoon,1,63 F,46 F,55 %,SW,21 mph,0 mph,30.2 in,0.0
1582,2017-04-22 19:00:00,Saturday,Afternoon,4,61 F,48 F,63 %,SW,20 mph,0 mph,30.2 in,0.0
1583,2017-04-22 20:00:00,Saturday,Afternoon,1,59 F,48 F,67 %,SW,16 mph,0 mph,30.1 in,0.0
1584,2017-04-22 21:00:00,Saturday,Afternoon,1,59 F,48 F,67 %,SW,17 mph,0 mph,30.1 in,0.0
1585,2017-04-22 23:00:00,Saturday,Night,1,57 F,46 F,67 %,WSW,12 mph,0 mph,30.1 in,0.0
1586,2017-04-23 07:00:00,Sunday,Morning,1,50 F,41 F,71 %,NW,8 mph,0 mph,30.0 in,0.0
1587,2017-04-23 11:00:00,Sunday,Morning,1,64 F,45 F,49 %,WNW,1 mph,0 mph,30.1 in,0.0
1588,2017-04-23 13:00:00,Sunday,Morning,2,64 F,48 F,56 %,E,8 mph,0 mph,30.1 in,0.0
1589,2017-04-23 14:00:00,Sunday,Afternoon,1,66 F,48 F,52 %,ENE,5 mph,0 mph,30.1 in,0.0
1590,2017-04-23 15:00:00,Sunday,Afternoon,3,64 F,52 F,64 %,SE,5 mph,0 mph,30.0 in,0.0
1591,2017-04-23 18:00:00,Sunday,Afternoon,5,63 F,50 F,63 %,SW,12 mph,0 mph,30.0 in,0.0
1592,2017-04-23 21:00:00,Sunday,Afternoon,2,61 F,54 F,77 %,SW,10 mph,0 mph,30.0 in,0.0
1593,2017-04-23 23:00:00,Sunday,Night,1,59 F,54 F,82 %,SW,12 mph,0 mph,30.0 in,0.0
1594,2017-04-24 00:00:00,Monday,Night,1,59 F,54 F,82 %,SW,10 mph,0 mph,30.0 in,0.0
1595,2017-04-24 07:00:00,Monday,Morning,1,52 F,45 F,76 %,WNW,6 mph,0 mph,30.0 in,0.0
1596,2017-04-24 08:00:00,Monday,Morning,1,54 F,45 F,72 %,NW,5 mph,0 mph,30.0 in,0.0
1597,2017-04-24 10:00:00,Monday,Morning,2,63 F,54 F,72 %,SW,8 mph,0 mph,30.0 in,0.0
1598,2017-04-24 11:00:00,Monday,Morning,1,63 F,54 F,72 %,SSW,13 mph,0 mph,30.0 in,0.0
1599,2017-04-24 12:00:00,Monday,Morning,2,63 F,52 F,68 %,SSW,13 mph,0 mph,30.0 in,0.0
1600,2017-04-24 13:00:00,Monday,Morning,5,64 F,54 F,68 %,SSW,13 mph,0 mph,30.0 in,0.0
1601,2017-04-24 15:00:00,Monday,Afternoon,4,64 F,55 F,73 %,S,12 mph,0 mph,30.0 in,0.0
1602,2017-04-24 16:00:00,Monday,Afternoon,2,64 F,55 F,73 %,S,13 mph,0 mph,30.0 in,0.0
1603,2017-04-24 17:00:00,Monday,Afternoon,2,63 F,54 F,72 %,S,12 mph,0 mph,30.0 in,0.0
1604,2017-04-24 19:00:00,Monday,Afternoon,1,63 F,55 F,77 %,S,9 mph,0 mph,30.0 in,0.0
1605,2017-04-24 20:00:00,Monday,Afternoon,2,63 F,55 F,77 %,SSW,7 mph,0 mph,29.9 in,0.0
1606,2017-04-24 21:00:00,Monday,Afternoon,1,61 F,55 F,82 %,S,3 mph,0 mph,29.9 in,0.0
1607,2017-04-24 22:00:00,Monday,Night,1,61 F,55 F,82 %,VAR,1 mph,0 mph,30.0 in,0.0
1608,2017-04-25 01:00:00,Tuesday,Night,1,55 F,52 F,88 %,WNW,2 mph,0 mph,29.9 in,0.0
1609,2017-04-25 06:00:00,Tuesday,Morning,1,52 F,48 F,88 %,NW,9 mph,0 mph,29.9 in,0.0
1610,2017-04-25 07:00:00,Tuesday,Morning,2,54 F,48 F,82 %,NW,8 mph,0 mph,29.9 in,0.0
1611,2017-04-25 08:00:00,Tuesday,Morning,1,54 F,46 F,77 %,NW,9 mph,0 mph,29.9 in,0.0
1612,2017-04-25 09:00:00,Tuesday,Morning,4,55 F,48 F,77 %,NW,7 mph,0 mph,29.9 in,0.0
1613,2017-04-25 10:00:00,Tuesday,Morning,4,61 F,55 F,82 %,W,3 mph,0 mph,29.9 in,0.0
1614,2017-04-25 11:00:00,Tuesday,Morning,2,63 F,57 F,82 %,SW,9 mph,0 mph,29.9 in,0.0
1615,2017-04-25 12:00:00,Tuesday,Morning,2,63 F,57 F,82 %,S,8 mph,0 mph,29.8 in,0.0
1616,2017-04-25 13:00:00,Tuesday,Morning,4,64 F,55 F,73 %,SSW,10 mph,0 mph,29.8 in,0.0
1617,2017-04-25 15:00:00,Tuesday,Afternoon,3,66 F,57 F,73 %,SW,16 mph,0 mph,29.8 in,0.0
1618,2017-04-25 16:00:00,Tuesday,Afternoon,1,66 F,55 F,68 %,SSW,16 mph,0 mph,29.8 in,0.0
1619,2017-04-25 17:00:00,Tuesday,Afternoon,3,64 F,55 F,73 %,SSW,17 mph,0 mph,29.7 in,0.0
1620,2017-04-25 18:00:00,Tuesday,Afternoon,4,64 F,55 F,73 %,SW,17 mph,0 mph,29.7 in,0.0
1621,2017-04-25 19:00:00,Tuesday,Afternoon,1,63 F,55 F,77 %,SW,15 mph,0 mph,29.7 in,0.0
