,Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime.1
3343,2017-01-11 16:00:00,2017S000262    ,Les Corts,Wednesday,Afternoon,1,0,1,2,2.1243220000000003,41.388126,2017-01-11 16:00:00
3227,2017-01-11 17:00:00,2017S000257    ,Sants-Montjuïc,Wednesday,Afternoon,1,0,1,2,2.142547,41.368928,2017-01-11 17:00:00
1031,2017-01-11 18:00:00,2017S000273    ,Gràcia,Wednesday,Afternoon,2,0,2,2,2.163835,41.408629,2017-01-11 18:00:00
7374,2017-01-11 19:00:00,2017S000268    ,Sarrià-Sant Gervasi,Wednesday,Afternoon,1,0,1,2,2.121429,41.39451500000001,2017-01-11 19:00:00
4576,2017-01-11 20:00:00,2017S000270    ,Les Corts,Wednesday,Afternoon,1,0,1,2,2.129608,41.38717800000001,2017-01-11 20:00:00
1584,2017-01-11 21:00:00,2017S000271    ,Eixample,Wednesday,Afternoon,1,0,1,2,2.163803,41.393036,2017-01-11 21:00:00
4502,2017-01-11 23:00:00,2017S000274    ,Sants-Montjuïc,Wednesday,Night,2,0,2,2,2.14591,41.377996,2017-01-11 23:00:00
2828,2017-01-12 01:00:00,2017S000307    ,Eixample,Thursday,Night,0,0,0,1,2.144893,41.387333,2017-01-12 01:00:00
6857,2017-01-12 03:00:00,2017S000275    ,Eixample,Thursday,Night,1,0,1,2,2.171632,41.399319,2017-01-12 03:00:00
3666,2017-01-12 07:00:00,2017S000276    ,Nou Barris,Thursday,Morning,1,0,1,3,2.16847,41.442106,2017-01-12 07:00:00
1143,2017-01-12 08:00:00,2017S000277    ,Nou Barris,Thursday,Morning,1,0,1,2,2.182684,41.446402,2017-01-12 08:00:00
1413,2017-01-12 09:00:00,2017S000283    ,Sant Martí,Thursday,Morning,1,0,1,2,2.194176,41.387636,2017-01-12 09:00:00
1543,2017-01-12 10:00:00,2017S000286    ,Eixample,Thursday,Morning,1,0,1,1,2.163111,41.397455,2017-01-12 10:00:00
9625,2017-01-12 11:00:00,2017S000289    ,Sants-Montjuïc,Thursday,Morning,1,0,1,2,2.156432,41.374991,2017-01-12 11:00:00
41,2017-01-12 12:00:00,2017S000296    ,Sant Martí,Thursday,Morning,1,0,1,2,2.1868540000000003,41.405403,2017-01-12 12:00:00
6136,2017-01-12 13:00:00,2017S000291    ,Gràcia,Thursday,Morning,1,0,1,2,2.13856,41.414735,2017-01-12 13:00:00
8132,2017-01-12 14:00:00,2017S000292    ,Eixample,Thursday,Afternoon,1,0,1,2,2.156205,41.385633,2017-01-12 14:00:00
595,2017-01-12 15:00:00,2017S000294    ,Eixample,Thursday,Afternoon,1,0,1,2,2.186922,41.398393,2017-01-12 15:00:00
4434,2017-01-12 18:00:00,2017S000303    ,Eixample,Thursday,Afternoon,1,0,1,2,2.173242,41.408668,2017-01-12 18:00:00
830,2017-01-12 19:00:00,2017S000304    ,Les Corts,Thursday,Afternoon,1,0,1,2,2.111662,41.385013,2017-01-12 19:00:00
7796,2017-01-12 20:00:00,2017S000306    ,Sant Martí,Thursday,Afternoon,1,0,1,2,2.197178,41.397295,2017-01-12 20:00:00
7223,2017-01-12 21:00:00,2017S000308    ,Les Corts,Thursday,Afternoon,1,0,1,2,2.137125,41.390772,2017-01-12 21:00:00
3013,2017-01-13 08:00:00,2017S000309    ,Eixample,Friday,Morning,1,0,1,2,2.149038,41.389524,2017-01-13 08:00:00
746,2017-01-13 09:00:00,2017S000311    ,Sants-Montjuïc,Friday,Morning,2,0,2,2,2.129084,41.379363,2017-01-13 09:00:00
698,2017-01-13 10:00:00,2017S000317    ,Sants-Montjuïc,Friday,Morning,2,0,2,3,2.136874,41.333621,2017-01-13 10:00:00
3449,2017-01-13 11:00:00,2017S000316    ,Sarrià-Sant Gervasi,Friday,Morning,1,0,1,2,2.129917,41.39251,2017-01-13 11:00:00
494,2017-01-13 13:00:00,2017S000322    ,Eixample,Friday,Morning,1,0,1,2,2.146385,41.39112100000001,2017-01-13 13:00:00
153,2017-01-13 14:00:00,2017S000327    ,Sant Martí,Friday,Afternoon,3,0,3,4,2.217285,41.4053,2017-01-13 14:00:00
682,2017-01-13 15:00:00,2017S000323    ,Sants-Montjuïc,Friday,Afternoon,1,0,1,3,2.145506,41.347798,2017-01-13 15:00:00
1819,2017-01-13 16:00:00,2017S000333    ,Eixample,Friday,Afternoon,1,0,1,2,2.186871,41.394758,2017-01-13 16:00:00
1433,2017-01-13 17:00:00,2017S000342    ,Ciutat Vella,Friday,Afternoon,0,0,0,1,2.176728,41.382436,2017-01-13 17:00:00
957,2017-01-13 18:00:00,2017S000338    ,Sarrià-Sant Gervasi,Friday,Afternoon,2,0,2,1,2.134383,41.40816,2017-01-13 18:00:00
9763,2017-01-13 20:00:00,2017S000344    ,Sants-Montjuïc,Friday,Afternoon,2,0,2,2,2.140873,41.369155,2017-01-13 20:00:00
6616,2017-01-13 21:00:00,2017S000341    ,Ciutat Vella,Friday,Afternoon,2,0,2,2,2.186992,41.38296,2017-01-13 21:00:00
2463,2017-01-14 00:00:00,2017S000348    ,Sant Andreu,Saturday,Night,2,0,2,2,2.192063,41.439918,2017-01-14 00:00:00
9010,2017-01-14 04:00:00,2017S000349    ,Sant Andreu,Saturday,Night,1,0,1,1,2.1932810000000003,41.447326,2017-01-14 04:00:00
6065,2017-01-14 08:00:00,2017S000350    ,Sarrià-Sant Gervasi,Saturday,Morning,1,0,1,2,2.134775,41.394705,2017-01-14 08:00:00
8758,2017-01-14 09:00:00,2017S000352    ,Gràcia,Saturday,Morning,2,0,2,2,2.161244,41.413562,2017-01-14 09:00:00
2801,2017-01-14 11:00:00,2017S000353    ,Eixample,Saturday,Morning,1,0,1,2,2.14941,41.380523,2017-01-14 11:00:00
1209,2017-01-14 12:00:00,2017S000355    ,Sant Andreu,Saturday,Morning,1,0,1,2,2.187422,41.447051,2017-01-14 12:00:00
3129,2017-01-14 13:00:00,2017S000361    ,Eixample,Saturday,Morning,2,0,2,2,2.177825,41.403574,2017-01-14 13:00:00
1179,2017-01-14 14:00:00,2017S000362    ,Sant Andreu,Saturday,Afternoon,1,0,1,2,2.183929,41.421764,2017-01-14 14:00:00
546,2017-01-14 16:00:00,2017S000363    ,Eixample,Saturday,Afternoon,2,0,2,1,2.179072,41.390646,2017-01-14 16:00:00
3819,2017-01-14 17:00:00,2017S000365    ,Sant Martí,Saturday,Afternoon,0,0,0,2,2.188682,41.403765,2017-01-14 17:00:00
8968,2017-01-14 18:00:00,2017S000367    ,Nou Barris,Saturday,Afternoon,1,0,1,2,2.170743,41.434711,2017-01-14 18:00:00
1293,2017-01-14 19:00:00,2017S000372    ,Sant Martí,Saturday,Afternoon,1,0,1,2,2.190657,41.411991,2017-01-14 19:00:00
866,2017-01-14 20:00:00,2017S000378    ,Sarrià-Sant Gervasi,Saturday,Afternoon,1,0,1,2,2.150741,41.39683,2017-01-14 20:00:00
4282,2017-01-14 21:00:00,2017S000377    ,Eixample,Saturday,Afternoon,1,0,1,2,2.14943,41.39076,2017-01-14 21:00:00
2287,2017-01-14 22:00:00,2017S000376    ,Horta-Guinardó,Saturday,Night,3,0,3,3,2.142103,41.424645,2017-01-14 22:00:00
