Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Date,State Holiday
11:00 AM,45 F,32 F,61 %,NW,14 mph,0 mph,30.2 in,1/5,0
11:30 AM,46 F,32 F,57 %,NNW,13 mph,0 mph,30.2 in,1/5,0
12:00 PM,46 F,32 F,57 %,NNW,12 mph,0 mph,30.2 in,1/5,0
12:30 PM,50 F,34 F,54 %,NW,9 mph,24 mph,30.2 in,1/5,0
1:00 PM,52 F,34 F,50 %,NNW,7 mph,0 mph,30.2 in,1/5,0
1:30 PM,54 F,36 F,51 %,VAR,1 mph,0 mph,30.2 in,1/5,0
2:00 PM,54 F,37 F,54 %,ESE,6 mph,0 mph,30.2 in,1/5,0
2:30 PM,54 F,39 F,58 %,SE,5 mph,0 mph,30.2 in,1/5,0
3:00 PM,54 F,39 F,58 %,SE,5 mph,0 mph,30.2 in,1/5,0
3:30 PM,54 F,41 F,62 %,ESE,3 mph,0 mph,30.2 in,1/5,0
4:00 PM,54 F,41 F,62 %,ESE,5 mph,0 mph,30.2 in,1/5,0
4:30 PM,54 F,41 F,62 %,SE,3 mph,0 mph,30.2 in,1/5,0
5:00 PM,52 F,41 F,67 %,VAR,2 mph,0 mph,30.2 in,1/5,0
5:30 PM,52 F,41 F,67 %,CALM,0 mph,0 mph,30.2 in,1/5,0
6:00 PM,52 F,41 F,67 %,VAR,2 mph,0 mph,30.2 in,1/5,0
6:30 PM,52 F,41 F,67 %,CALM,0 mph,0 mph,30.2 in,1/5,0
7:00 PM,52 F,43 F,71 %,CALM,0 mph,0 mph,30.2 in,1/5,0
7:30 PM,52 F,43 F,71 %,NW,3 mph,0 mph,30.3 in,1/5,0
8:00 PM,50 F,41 F,71 %,NW,5 mph,0 mph,30.3 in,1/5,0
8:30 PM,48 F,41 F,76 %,NNW,7 mph,0 mph,30.3 in,1/5,0
9:00 PM,46 F,34 F,62 %,NNW,8 mph,0 mph,30.3 in,1/5,0
9:30 PM,46 F,32 F,57 %,NNW,8 mph,0 mph,30.3 in,1/5,0
10:00 PM,46 F,32 F,57 %,NNW,10 mph,0 mph,30.3 in,1/5,0
10:30 PM,45 F,30 F,57 %,NNW,12 mph,0 mph,30.3 in,1/5,0
11:00 PM,43 F,30 F,61 %,NNW,10 mph,0 mph,30.3 in,1/5,0
11:30 PM,43 F,30 F,61 %,NNW,12 mph,0 mph,30.3 in,1/5,0
12:00 AM,41 F,30 F,65 %,NNW,10 mph,0 mph,30.3 in,1/6,1
12:30 AM,41 F,30 F,65 %,NNW,10 mph,0 mph,30.3 in,1/6,1
1:00 AM,39 F,30 F,70 %,NNW,12 mph,0 mph,30.3 in,1/6,1
1:30 AM,39 F,30 F,70 %,NNW,13 mph,0 mph,30.3 in,1/6,1
2:00 AM,39 F,28 F,65 %,NNW,14 mph,0 mph,30.3 in,1/6,1
2:30 AM,39 F,28 F,65 %,NNW,14 mph,0 mph,30.3 in,1/6,1
3:00 AM,39 F,28 F,65 %,NNW,15 mph,0 mph,30.3 in,1/6,1
3:30 AM,37 F,28 F,70 %,NNW,15 mph,0 mph,30.3 in,1/6,1
4:00 AM,37 F,28 F,70 %,NNW,17 mph,0 mph,30.3 in,1/6,1
4:30 AM,37 F,28 F,70 %,NNW,15 mph,0 mph,30.3 in,1/6,1
5:00 AM,36 F,28 F,75 %,NNW,16 mph,0 mph,30.3 in,1/6,1
5:30 AM,36 F,28 F,75 %,NNW,17 mph,0 mph,30.3 in,1/6,1
6:00 AM,36 F,28 F,75 %,NNW,15 mph,0 mph,30.3 in,1/6,1
6:30 AM,36 F,27 F,70 %,NNW,15 mph,0 mph,30.3 in,1/6,1
7:00 AM,36 F,27 F,70 %,NNW,16 mph,0 mph,30.3 in,1/6,1
7:30 AM,36 F,27 F,70 %,NNW,13 mph,0 mph,30.3 in,1/6,1
8:00 AM,36 F,27 F,70 %,NNW,16 mph,0 mph,30.3 in,1/6,1
8:30 AM,36 F,27 F,70 %,NNW,15 mph,0 mph,30.3 in,1/6,1
9:00 AM,36 F,27 F,70 %,NNW,17 mph,32 mph,30.4 in,1/6,1
9:30 AM,36 F,28 F,75 %,NNW,17 mph,0 mph,30.4 in,1/6,1
10:00 AM,37 F,28 F,70 %,NW,16 mph,0 mph,30.4 in,1/6,1
10:30 AM,39 F,28 F,65 %,NNW,15 mph,0 mph,30.4 in,1/6,1
11:00 AM,41 F,28 F,61 %,NNW,14 mph,0 mph,30.4 in,1/6,1
11:30 AM,45 F,28 F,53 %,NNW,13 mph,0 mph,30.4 in,1/6,1
12:00 PM,46 F,30 F,53 %,NW,10 mph,0 mph,30.4 in,1/6,1
12:30 PM,48 F,32 F,54 %,NNW,9 mph,0 mph,30.4 in,1/6,1
1:00 PM,50 F,32 F,50 %,NNW,6 mph,21 mph,30.4 in,1/6,1
1:30 PM,52 F,34 F,50 %,WNW,1 mph,0 mph,30.4 in,1/6,1
2:00 PM,55 F,37 F,51 %,WSW,5 mph,0 mph,30.4 in,1/6,1
2:30 PM,52 F,37 F,58 %,SW,6 mph,0 mph,30.3 in,1/6,1
3:00 PM,52 F,39 F,62 %,SSW,7 mph,0 mph,30.3 in,1/6,1
3:30 PM,54 F,39 F,58 %,S,5 mph,0 mph,30.3 in,1/6,1
4:00 PM,54 F,39 F,58 %,S,6 mph,0 mph,30.3 in,1/6,1
4:30 PM,52 F,37 F,58 %,S,5 mph,0 mph,30.3 in,1/6,1
5:00 PM,52 F,39 F,62 %,S,3 mph,0 mph,30.4 in,1/6,1
5:30 PM,52 F,39 F,62 %,VAR,2 mph,0 mph,30.4 in,1/6,1
6:00 PM,50 F,36 F,58 %,CALM,0 mph,0 mph,30.4 in,1/6,1
6:30 PM,48 F,37 F,66 %,CALM,0 mph,0 mph,30.4 in,1/6,1
7:00 PM,46 F,37 F,71 %,VAR,2 mph,0 mph,30.4 in,1/6,1
7:30 PM,45 F,37 F,76 %,NW,5 mph,0 mph,30.4 in,1/6,1
8:00 PM,45 F,37 F,76 %,NW,7 mph,0 mph,30.4 in,1/6,1
8:30 PM,43 F,37 F,81 %,NW,5 mph,0 mph,30.4 in,1/6,1
9:00 PM,43 F,37 F,81 %,NNW,6 mph,0 mph,30.4 in,1/6,1
9:30 PM,43 F,37 F,81 %,NW,7 mph,0 mph,30.4 in,1/6,1
10:00 PM,43 F,37 F,81 %,NW,7 mph,0 mph,30.4 in,1/6,1
10:30 PM,41 F,37 F,87 %,NNW,7 mph,0 mph,30.4 in,1/6,1
11:00 PM,41 F,37 F,87 %,NNW,7 mph,0 mph,30.4 in,1/6,1
11:30 PM,43 F,36 F,76 %,NNW,5 mph,0 mph,30.4 in,1/6,1
12:00 AM,43 F,36 F,76 %,NNW,8 mph,0 mph,30.4 in,1/7,0
12:30 AM,43 F,34 F,70 %,NNW,13 mph,0 mph,30.4 in,1/7,0
1:00 AM,41 F,34 F,76 %,NNW,13 mph,0 mph,30.4 in,1/7,0
1:30 AM,39 F,32 F,75 %,NW,10 mph,0 mph,30.4 in,1/7,0
2:00 AM,37 F,32 F,81 %,NW,12 mph,0 mph,30.4 in,1/7,0
2:30 AM,37 F,32 F,81 %,NNW,12 mph,0 mph,30.4 in,1/7,0
3:00 AM,37 F,30 F,75 %,NNW,14 mph,0 mph,30.4 in,1/7,0
3:30 AM,37 F,30 F,75 %,NNW,16 mph,0 mph,30.4 in,1/7,0
4:00 AM,37 F,30 F,75 %,NNW,15 mph,0 mph,30.4 in,1/7,0
4:30 AM,36 F,30 F,81 %,NNW,15 mph,0 mph,30.4 in,1/7,0
5:00 AM,36 F,28 F,75 %,NNW,14 mph,0 mph,30.4 in,1/7,0
5:30 AM,36 F,28 F,75 %,NNW,15 mph,0 mph,30.4 in,1/7,0
