Datetime,Id,District Name,Weekday,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude,Datetime
2017-09-15 09:00:00,2017S007632    ,Sant Martí,Friday,Morning,1,0,1,2,2.1869509999999996,41.399893,2017-09-15 09:00:00
2017-06-13 21:00:00,2017S005194    ,Sant Martí,Tuesday,Afternoon,1,0,1,2,2.1925470000000002,41.393928,2017-06-13 21:00:00
2017-11-28 18:00:00,2017S009929    ,Sant Martí,Tuesday,Afternoon,1,0,1,2,2.1868689999999997,41.393128999999995,2017-11-28 18:00:00
2017-12-11 10:00:00,2017S010245    ,Sant Martí,Monday,Morning,1,0,1,2,2.1880330000000003,41.402572,2017-12-11 10:00:00
2017-07-03 16:00:00,2017S005770    ,Sant Martí,Monday,Afternoon,1,0,1,2,2.2096400000000003,41.400669,2017-07-03 16:00:00
2017-09-15 23:00:00,2017S007662    ,Sant Martí,Friday,Night,0,0,0,1,2.213772,41.403526,2017-09-15 23:00:00
2017-12-04 14:00:00,2017S010115    ,Sant Martí,Monday,Afternoon,1,0,1,2,2.1903669999999997,41.404181,2017-12-04 14:00:00
2017-10-22 15:00:00,2017S008757    ,Sant Martí,Sunday,Afternoon,1,0,1,2,2.21088,41.400104,2017-10-22 15:00:00
2017-07-15 13:00:00,2017S008323    ,Sant Martí,Saturday,Morning,2,0,2,2,2.215322,41.404969,2017-07-15 13:00:00
2017-09-24 04:00:00,2017S007902    ,Sant Martí,Sunday,Night,1,0,1,1,2.218669,41.407651,2017-09-24 04:00:00
2017-12-21 02:00:00,2017S010551    ,Sant Martí,Thursday,Night,2,0,2,1,2.222171,41.411355,2017-12-21 02:00:00
2017-06-17 22:00:00,2017S005323    ,Sant Martí,Saturday,Night,2,0,2,2,2.218332,41.406911,2017-06-17 22:00:00
2017-07-31 08:00:00,2017S006639    ,Sant Martí,Monday,Morning,1,0,1,2,2.194493,41.399488,2017-07-31 08:00:00
2017-08-08 13:00:00,2017S006839    ,Sant Martí,Tuesday,Morning,2,0,2,1,2.217908,41.405822,2017-08-08 13:00:00
2017-10-18 07:00:00,2017S008561    ,Sant Martí,Wednesday,Morning,0,0,0,2,2.217908,41.405822,2017-10-18 07:00:00
2017-11-04 20:00:00,2017S009139    ,Sant Martí,Saturday,Afternoon,3,0,3,2,2.193389,41.400040000000004,2017-11-04 20:00:00
2017-05-26 21:00:00,2017S004670    ,Sant Martí,Friday,Afternoon,2,0,2,2,2.214286,41.402570000000004,2017-05-26 21:00:00
2017-06-29 19:00:00,2017S005668    ,Sant Martí,Thursday,Afternoon,1,0,1,2,2.201548,41.391096999999995,2017-06-29 19:00:00
2017-10-20 17:00:00,2017S008675    ,Sant Martí,Friday,Afternoon,1,0,1,2,2.2111259999999997,41.401901,2017-10-20 17:00:00
2017-12-16 19:00:00,2017S010420    ,Sant Martí,Saturday,Afternoon,1,0,1,2,2.213735,41.402829,2017-12-16 19:00:00
2017-03-28 07:00:00,2017S002461    ,Sant Martí,Tuesday,Morning,1,0,1,2,2.213735,41.402829,2017-03-28 07:00:00
2017-11-03 07:00:00,2017S009070    ,Sant Martí,Friday,Morning,1,0,1,2,2.2128799999999997,41.402187,2017-11-03 07:00:00
2017-07-13 12:00:00,2017S006098    ,Sant Martí,Thursday,Morning,1,0,1,2,2.219305,41.411328000000005,2017-07-13 12:00:00
2017-05-31 13:00:00,2017S004792    ,Sant Martí,Wednesday,Morning,2,0,2,2,2.190701,41.402084,2017-05-31 13:00:00
2017-03-28 15:00:00,2017S002477    ,Sant Martí,Tuesday,Afternoon,1,0,1,2,2.2147580000000002,41.403345,2017-03-28 15:00:00
2017-01-13 14:00:00,2017S000327    ,Sant Martí,Friday,Afternoon,3,0,3,4,2.217285,41.4053,2017-01-13 14:00:00
2017-02-13 18:00:00,2017S001205    ,Sant Martí,Monday,Afternoon,1,0,1,2,2.218003,41.406044,2017-02-13 18:00:00
2017-02-17 14:00:00,2017S001333    ,Sant Martí,Friday,Afternoon,4,0,4,4,2.21559,41.404004,2017-02-17 14:00:00
2017-09-09 00:00:00,2017S007492    ,Sant Martí,Saturday,Night,1,0,1,2,2.1915560000000003,41.398216999999995,2017-09-09 00:00:00
